,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,MID,DKX,MADKX,DKX_prev,MADKX_prev
2024-04-15,44.14,44.56,44.09,45.15,22027768.0,984050772.26,1.0,48.5,39.68,44.673,44.09,0.0,44.51,,,,
2024-04-16,44.33,44.26,43.79,44.65,23385721.0,1033684469.67,1.0,49.02,40.1,44.202,44.56,0.0,44.25833333333333,,,,
2024-04-17,44.35,44.39,43.84,44.78,23275600.0,1032367343.51,1.0,48.69,39.83,44.354,44.26,0.0,44.35666666666666,,,,
2024-04-18,45.2,42.35,42.2,45.5,59016774.0,2541878650.67,1.0,48.83,39.95,43.07,44.39,0.0,43.324999999999996,,,,
2024-04-19,42.0,41.68,41.22,42.34,38425460.0,1601560704.13,1.0,46.59,38.12,41.68,42.35,0.0,41.766666666666666,,,,
2024-04-22,41.99,41.86,41.46,42.17,27806445.0,1163954982.66,1.0,45.85,37.51,41.859,41.68,0.0,41.86666666666667,,,,
2024-04-23,41.86,44.07,41.8,44.27,49366110.0,2134259117.47,1.0,46.05,37.67,43.233,41.86,0.0,43.35666666666666,,,,
2024-04-24,43.96,43.7,43.4,44.2,21625198.0,946244236.26,1.0,48.48,39.66,43.757,44.07,0.0,43.77666666666667,,,,
2024-04-25,43.7,44.3,43.5,44.97,24469103.0,1085861364.42,1.0,48.07,39.33,44.377,43.7,0.0,44.17833333333332,,,,
2024-04-26,44.2,45.61,44.17,45.79,34278262.0,1550025297.08,1.0,48.73,39.87,45.219,44.3,0.0,45.16499999999999,,,,
2024-04-29,45.6,46.18,45.53,46.86,34279567.0,1586424721.58,1.0,50.17,41.05,46.279,45.61,0.0,46.08833333333333,,,,
2024-04-30,46.39,46.16,45.85,46.85,19250243.0,893082209.97,1.0,50.8,41.56,46.393,46.18,0.0,46.26166666666666,,,,
2024-05-06,46.93,47.16,46.42,47.87,32582423.0,1541063569.27,1.0,50.78,41.54,47.297,46.16,0.0,47.11666666666667,,,,
2024-05-07,47.16,47.23,47.02,47.5,20377965.0,964125270.19,1.0,51.88,42.44,47.312,47.16,0.0,47.22833333333333,,,,
2024-05-08,47.26,46.42,46.25,47.37,26129151.0,1217234952.37,1.0,51.95,42.51,46.585,47.23,0.0,46.69,,,,
2024-05-09,46.51,46.9,46.31,47.23,17514723.0,820722434.34,1.0,51.06,41.78,46.859,46.42,0.0,46.791666666666664,,,,
2024-05-10,46.79,46.48,46.19,47.05,15577277.0,725489832.34,1.0,51.59,42.21,46.574,46.9,0.0,46.578333333333326,,,,
2024-05-13,46.48,45.53,45.37,46.78,29175692.0,1338054190.87,1.0,51.13,41.83,45.862,46.48,0.0,45.87,,,,
2024-05-14,45.53,45.33,45.22,45.78,19723737.0,897260526.27,1.0,50.08,40.98,45.491,45.53,0.0,45.419999999999995,,,,
2024-05-15,45.34,44.67,44.53,45.42,15942898.0,713465988.68,1.0,49.86,40.8,44.751,45.33,0.0,44.883333333333326,45.54940476190475,,,
2024-05-16,45.0,44.69,44.4,45.11,23437708.0,1048106877.62,1.0,49.14,40.2,44.719,44.67,0.0,44.76333333333333,45.52930158730158,,45.54940476190475,
2024-05-17,45.5,44.75,44.07,46.23,37685549.0,1689843524.06,1.0,49.16,40.22,44.841,44.69,0.0,45.00833333333333,45.53132539682539,,45.52930158730158,
2024-05-20,44.28,43.81,43.48,44.79,39702265.0,1742797463.74,1.0,49.23,40.28,43.897,44.75,0.0,43.99666666666667,45.433428571428564,,45.53132539682539,
2024-05-21,43.72,43.8,43.42,44.16,24438325.0,1071157251.35,1.0,48.19,39.43,43.831,43.81,0.0,43.78333333333333,45.316928571428576,,45.433428571428564,
2024-05-22,43.9,43.54,43.4,43.96,25238847.0,1100081619.8,1.0,48.18,39.42,43.587,43.8,0.0,43.64666666666667,45.18523015873016,,45.316928571428576,
2024-05-23,43.54,43.05,42.9,43.59,19702407.0,848668344.93,1.0,47.89,39.19,43.074,43.54,0.0,43.19666666666666,45.00172222222223,,45.18523015873016,
2024-05-24,43.05,42.44,42.38,43.18,22038350.0,939654300.98,1.0,47.36,38.75,42.637,43.05,0.0,42.655,44.76029365079364,,45.00172222222223,
2024-05-27,42.33,42.7,41.82,42.9,30678196.0,1300950779.09,1.0,46.68,38.2,42.406,42.44,0.0,42.525,44.509825396825406,,44.76029365079364,
2024-05-28,42.7,43.27,42.36,43.59,37427881.0,1616893172.35,1.0,46.97,38.43,43.2,42.7,0.0,43.07666666666666,44.317857142857136,45.11353174603174,44.509825396825406,
2024-05-29,43.25,43.02,42.95,43.48,16676675.0,719612072.51,1.0,47.6,38.94,43.151,43.27,0.0,43.123333333333335,44.13557936507937,44.97214920634921,44.317857142857136,45.11353174603174
