,open,close,low,high,volume,money,ma_short,ma_long,ma_short_2days_ago,ma_long_2days_ago,ma_short_1day_ago,ma_long_1day_ago
2023-11-01,47.54,47.56,46.89,47.77,33856631.0,1601908875.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-02,47.76,47.49,47.3,47.79,20690134.0,983703283.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-03,47.39,47.11,47.0,47.69,21466394.0,1015296077.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-06,48.08,47.92,47.75,48.46,38138150.0,1834312514.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-07,48.09,48.02,47.77,48.39,26373517.0,1270647902.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-08,48.06,48.86,48.06,49.32,32119814.0,1567457009.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-09,48.72,47.97,47.86,48.95,29722826.0,1431770225.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-10,47.69,47.98,47.62,48.27,18815882.0,902627142.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-13,48.1,46.9,46.66,48.23,34154624.0,1606447219.0,,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-14,46.97,46.64,46.4,47.27,20856147.0,973364199.0,47.644999999999996,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-15,47.27,46.93,46.76,47.57,15806648.0,743383344.0,47.582,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-16,46.63,46.4,46.36,47.08,14077307.0,655045907.0,47.473,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-17,46.39,46.74,46.28,46.93,21361595.0,995487699.0,47.43599999999999,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-20,46.81,47.09,46.56,47.57,23306250.0,1096914505.0,47.353,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-21,47.2,47.18,46.91,47.67,20722851.0,981885820.0,47.269,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-22,47.18,46.74,46.74,47.26,12799059.0,600591031.0,47.057,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-23,46.75,46.77,46.25,46.87,12793525.0,596480165.0,46.937,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
2023-11-24,46.61,46.53,46.32,46.81,14772760.0,688379061.0,46.791999999999994,,48.916999999999994,48.95700000000001,49.178999999999995,49.201499999999996
